attraction_id,attraction_name,ratings,no_of_ratings,attraction_type,description,Latitude,Longitude,city,keywords,open_time,close_time
1,Citadel of Saladin,4.6,24755,Tourist attraction,"Sights and landmarks, Historic Sites",30.02875,31.25971,cairo,"Tourist attraction Sights and landmarks, Historic Sites", 9:00 AM , 5:00 PM
2,Cairo Tower,4.3,23202,Tourist attraction,Observation Decks & Towers,30.04592,31.22429,cairo,Tourist attraction Observation Decks & Towers, 9:00 AM , 12:00 AM
3,Khan el-Khalili,4.4,45558,Bazar,Flea & Street Markets,30.04774,31.26225,cairo,Bazar Flea & Street Markets, 9:00 AM , 11:00 PM
4,Al-Azhar Park,4.5,29934,Park,Parks,30.04076,31.26473,cairo,Park Parks, 9:00 AM , 12:00 AM 
5,Prince Mohamed Ali Palace (Al Manial Palace),4.6,6439,Historical landmark,History Museums,30.02895,31.23001,cairo,Historical landmark History Museums, 9:00 AM , 4:00 PM
6,Al-Azhar Mosque,4.8,13719,Mosque,Religious Sites,30.04569,31.26269,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
7,Tahrir Square,4.6,7900,Tourist attraction,Points of Interest & Landmarks,30.0444,31.23572,cairo,Tourist attraction Points of Interest & Landmarks,06:00 AM, 12:00 AM
8,Mosque-Madrasa of Sultan Hassan,4.8,3372,Mosque,Historic Sites Religious Sites,30.03228,31.25617,cairo,Mosque Historic Sites Religious Sites, 9:00 AM , 5:00 PM
9,Mosque of Ibn Tulun,4.7,3463,Mosque,Historic Sites Religious Sites,30.02869,31.24939,cairo,Mosque Historic Sites Religious Sites, 9:00 AM , 5:00 PM
10,Pharaonic Village,4.3,13603,Tourist attraction,Historic Sites Points of Interest & Landmarks,29.99732,31.21478,giza,Tourist attraction Historic Sites Points of Interest & Landmarks, 9:00 AM , 5:00 PM
11,The Coptic Museum,4.5,893,Museum,Art Museums,30.00576,31.2304,cairo,Museum Art Museums, 9:00 AM , 5:00 PM
12,Qalawun Complex,4.7,749,Historical landmark,Historic Sites Religious Sites,30.0494,31.26096,cairo,Historical landmark Historic Sites Religious Sites, 9:00 AM , 5:00 PM
13,Al-Hakim Mosque,4.7,8214,Mosque,Religious Sites,30.05455,31.26351,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
14,Museum of Islamic Art in Cairo,4.6,4047,Museum,Art Museums History Museums,30.04472,31.25272,cairo,Museum Art Museums History Museums, 9:00 AM , 5:00 PM
15,Mosque of Muhammad Ali,4.7,4290,Mosque,Historic Sites Religious Sites,30.0287,31.25991,cairo,Mosque Historic Sites Religious Sites, 9:00 AM , 5:00 PM
16,Gayer-Anderson Museum,4.6,1261,Museum,Historic Sites Art Museums Archaeological,30.02833,31.25074,cairo,Museum Historic Sites Art Museums Archaeological, 9:00 AM , 5:00 PM
17,Abdeen Palace Museum,4.6,"10,074",Museum,History Museums Historical place,30.04321,31.24722,cairo,Museum History Museums Historical place, 9:00 AM , 4:00 PM
18,The National Museum of Egyptian Civilization,4.7,14633,Museum,History Museums,30.00841,31.24825,cairo,Museum History Museums, 9:00 AM , 5:00 PM
19,The Hanging Church,4.6,5100,Church,Architectural Buildings Religious Sites,30.00527,31.23018,cairo,Church Architectural Buildings Religious Sites, 9:00 AM , 5:00 PM
20,Talaat Harb Square,4.5,14732,Historical landmark,Historic street,30.0476,31.23845,cairo,Historical landmark Historic street,06:00 AM, 12:00 AM
21,Royal Chariots Museum,4.4,473,Museum,History Museums,30.05591,31.23132,cairo,Museum History Museums, 9:00 AM , 5:00 PM
22,Bab al-Futuh,4.6,6390,Historical landmark,Historic Sites Points of Interest & Landmarks Historic Walking Areas Castles,30.05536,31.26341,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Historic Walking Areas Castles, 9:00 AM , 5:00 PM
23,Al-Hussein Mosque,4.6,25106,Mosque,Points of Interest & Landmarks Religious Sites,30.04767,31.26319,cairo,Mosque Points of Interest & Landmarks Religious Sites, 9:00 AM , 5:00 PM
24,Bab Zuweila,4.6,839,Historical landmark,Historic Sites Points of Interest & Landmarks Castles,30.0427,31.25778,cairo,Historical landmark Historic Sites Points of Interest & Landmarks Castles, 9:00 AM , 5:00 PM
25,Lazoghly Square - Lazoghly Statue,4.4,183,Tourist attraction,Historic street,30.03913,31.24034,cairo,Tourist attraction Historic street,06:00 AM, 12:00 AM
26,El Andalos Park,4.1,809,Park,garden,30.0442,31.22741,cairo,Park garden,06:00 AM, 12:00 AM
27,House of Suhaymi,4.6,1624,Historical landmark,Speciality Museums,30.0521,31.26249,cairo,Historical landmark Speciality Museums, 9:00 AM , 5:00 PM
28,Al Horreya Garden,4.2,4046,Garden,,30.04147,31.22579,cairo,Garden,06:00 AM, 12:00 AM
29,Townhouse Gallery,4.5,242,Art Gallery,,30.04907,31.23804,cairo,Art Gallery, 12:00 PM , 9:00 PM
30,Aqsunqur Mosque,4.7,435,Mosque,Religious Sites,30.03611,31.26028,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
31,Saad Zaghloul Statue,4.4,138,Historical landmark,,30.0434,31.22708,cairo,Historical landmark,06:00 AM, 12:00 AM
32,St Sergius and St Bacchus Church,4.7,1163,Church,Churches & Cathedrals,30.00628,31.23067,cairo,Church Churches & Cathedrals, 9:00 AM , 4:00 PM
33,Pyramid of Djoser,4.7,4940,Cultural landmark,Ancient Ruins Points of Interest & Landmarks,29.87132,31.21654,giza,Cultural landmark Ancient Ruins Points of Interest & Landmarks, 9:00 AM , 5:00 PM
34,Saqqara Necropolis,4.8,998,Historical landmark,Historic Sites Ancient Ruins,29.86846,31.21682,giza,Historical landmark Historic Sites Ancient Ruins, 9:00 AM , 5:00 PM
35,El Obour Park,4.3,363,Park,,30.05623,31.21762,cairo,Park,06:00 AM, 12:00 AM
36,Aquarium Grotto Garden,3.8,3966,Park,,30.0564,31.21908,cairo,Park,06:00 AM, 12:00 AM
37,Masjid Omar Makram,4.5,2213,Mosque,Religious Sites,30.0432,31.23395,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
38,Pyramid of Khafre,4.7,974,Historical landmark,Historic Sites,29.97613,31.13093,giza,Historical landmark Historic Sites, 8:00 AM , 5:00 PM
39,Masjid Sultan Abo Elelaa,4.6,2002,Mosque,Religious Sites,30.0564,31.22996,cairo,Mosque Religious Sites, 9:00 AM , 5:00 PM
40,Bent Pyramid,4.7,1178,Historical landmark,Ancient Ruins Points of Interest & Landmarks Architectural Buildings,29.79045,31.20932,giza,Historical landmark Ancient Ruins Points of Interest & Landmarks Architectural Buildings, 8:00 AM , 5:00 PM
41,The Child Museum,4.4,1152,Museum,Speciality Museums Childrens,30.10224,31.33695,cairo,Museum Speciality Museums Childrens, 9:00 AM , 4:00 PM
